ID team,ELO,Division,Matches
453,768.87,5,36
545,779.22,6,17
546,866.24,4,12
445,902.72,5,35
245,916.65,6,4
401,933.52,6,31
544,934.73,4,10
451,956.61,6,33
404,956.99,2,43
449,962.36,6,51
110,977.39,3,19
216,984.54,5,34
61,994.02,5,36
215,1010.53,5,48
500,1023.11,4,19
501,1027.24,4,22
574,1030.76,5,4
400,1032.72,5,44
411,1050.63,5,53
65,1057.63,4,45
38,1061.05,3,30
489,1063.96,6,11
331,1069.02,4,56
176,1072.61,5,53
532,1072.7,4,5
499,1089.29,5,28
502,1090.93,4,25
570,1092.62,4,3
504,1095.07,4,9
406,1097.56,4,44
375,1108.17,5,49
26,1121.38,3,47
448,1121.95,4,46
439,1135.98,5,43
8,1136.0,3,30
577,1141.09,4,5
403,1149.5,2,12
431,1160.27,5,51
332,1163.02,4,49
491,1183.27,3,20
568,1188.54,4,9
407,1197.52,3,19
208,1201.19,1,43
581,1202.74,3,5
399,1203.77,0,16
207,1215.78,2,39
132,1222.85,4,27
410,1222.96,1,38
569,1225.4,3,6
397,1226.52,3,23
329,1234.59,2,40
130,1246.35,5,48
566,1252.59,4,9
405,1252.62,4,40
54,1256.81,3,10
446,1259.61,3,40
189,1259.87,2,43
12,1268.38,0,40
129,1270.05,3,42
24,1271.44,2,6
64,1272.15,2,19
53,1272.62,1,36
104,1280.02,6,43
565,1290.46,3,9
4,1293.31,0,23
379,1295.71,1,40
214,1297.65,2,50
22,1305.19,2,43
398,1307.69,5,24
269,1308.89,3,45
205,1311.31,2,45
493,1315.52,1,4
335,1318.45,2,48
450,1321.67,1,15
23,1336.6,2,54
200,1343.05,2,15
396,1344.31,1,39
567,1350.16,2,5
15,1355.76,1,40
442,1359.11,0,37
402,1360.61,2,62
44,1370.53,2,52
505,1372.82,0,13
498,1383.22,2,30
447,1389.46,0,30
336,1397.47,1,42
138,1401.14,1,7
211,1402.48,1,16
441,1410.01,2,23
564,1410.62,0,7
440,1420.19,1,43
63,1428.49,0,43
48,1446.4,1,41
92,1452.14,1,39
56,1454.83,0,41
490,1455.42,2,13
46,1463.15,0,37
443,1467.31,0,47
109,1480.63,1,53
497,1482.13,1,17
333,1492.57,1,68
393,1496.93,1,10
496,1498.31,1,20
556,1500.24,0,13
49,1500.76,0,47
580,1503.78,0,4
494,1511.22,1,18
239,1524.14,0,34
506,1525.07,0,20
31,1529.66,1,48
409,1532.48,0,44
1,1533.79,0,51
438,1541.04,2,56
573,1552.64,0,4
555,1566.04,0,6
131,1567.71,0,21
111,1573.45,0,43
578,1582.46,0,4
35,1583.7,1,45
408,1604.24,1,45
187,1610.69,1,19
452,1627.05,1,53
29,1665.31,0,62
17,1701.38,0,50
191,1709.42,1,50
