ID player,MisG,TotalTr,ReflSh,dev_MisG,dev_ReflSh,dev_TotalTr
10.00,3.30,29.68,89.13,20.57,5.85,12.17
13.00,1.83,11.00,83.84,55.95,-0.43,-58.43
16.00,2.20,17.40,87.93,47.04,4.42,-34.24
55.00,3.83,25.00,74.87,7.81,-11.09,-5.52
71.00,4.34,26.96,83.09,-4.47,-1.33,1.89
102.00,4.14,30.43,87.24,0.35,3.60,15.00
109.00,1.67,14.33,87.92,59.80,4.41,-45.84
154.00,3.00,20.00,85.00,27.79,0.94,-24.42
178.00,3.10,27.40,88.02,25.38,4.53,3.55
195.00,5.10,27.50,81.34,-22.76,-3.40,3.93
217.00,4.41,22.78,80.96,-6.15,-3.85,-13.91
222.00,3.95,29.88,86.96,4.92,3.27,12.92
291.00,8.00,49.00,83.67,-92.57,-0.64,85.18
306.00,5.50,36.00,84.73,-32.39,0.62,36.05
339.00,3.08,25.28,87.69,25.86,4.14,-4.46
397.00,4.00,18.00,77.78,3.72,-7.63,-31.97
416.00,3.00,23.64,87.65,27.79,4.09,-10.66
442.00,3.33,25.25,87.43,19.84,3.83,-4.57
490.00,4.11,31.78,86.14,1.07,2.30,20.10
520.00,2.85,30.91,90.80,31.40,7.83,16.82
530.00,4.50,34.50,86.93,-8.32,3.24,30.38
569.00,5.64,33.79,83.25,-35.76,-1.14,27.70
573.00,4.11,28.63,86.57,1.07,2.81,8.20
599.00,5.12,26.38,79.61,-23.24,-5.46,-0.30
631.00,2.00,19.66,90.34,51.86,7.28,-25.70
656.00,5.00,28.00,82.19,-20.35,-2.39,5.82
667.00,5.00,22.86,79.00,-20.35,-6.18,-13.61
668.00,4.86,27.14,82.29,-16.98,-2.28,2.57
673.00,3.75,37.05,89.06,9.73,5.76,40.02
740.00,3.12,28.65,88.89,24.90,5.56,8.28
743.00,5.15,28.92,81.99,-23.96,-2.63,9.30
754.00,4.00,25.00,84.00,3.72,-0.24,-5.52
769.00,5.67,29.33,73.49,-36.48,-12.73,10.84
806.00,6.00,19.00,68.42,-44.43,-18.75,-28.19
908.00,3.17,29.38,87.94,23.70,4.43,11.03
938.00,2.57,22.78,88.00,38.14,4.51,-13.91
979.00,5.52,30.26,81.71,-32.87,-2.96,14.36
995.00,3.31,27.15,87.72,20.33,4.17,2.61
997.00,3.70,32.94,88.46,10.94,5.05,24.49
998.00,4.81,32.06,84.36,-15.78,0.18,21.16
1046.00,2.63,21.80,87.46,36.69,3.86,-17.61
1060.00,4.27,24.18,82.32,-2.78,-2.24,-8.62
1126.00,3.33,23.00,85.78,19.84,1.87,-13.08
1176.00,4.78,23.00,80.48,-15.06,-4.42,-13.08
1194.00,3.35,23.88,85.58,19.36,1.63,-9.75
1201.00,4.00,33.50,86.72,3.72,2.99,26.60
1202.00,8.00,22.00,63.64,-92.57,-24.42,-16.86
1266.00,4.00,23.50,83.44,3.72,-0.91,-11.19
1296.00,2.85,27.25,89.35,31.40,6.11,2.98
1308.00,3.21,24.29,84.85,22.73,0.77,-8.20
1311.00,5.23,32.23,83.80,-25.89,-0.48,21.80
1312.00,1.00,19.00,94.56,75.93,12.30,-28.19
1331.00,3.00,18.00,83.33,27.79,-1.04,-31.97
1340.00,5.25,29.00,82.16,-26.37,-2.43,9.60
1365.00,2.80,22.40,87.07,32.60,3.40,-15.35
1376.00,4.58,26.81,83.52,-10.24,-0.81,1.32
1407.00,4.06,25.22,83.84,2.27,-0.43,-4.69
1435.00,5.62,27.00,79.67,-35.28,-5.39,2.04
1502.00,5.33,30.33,80.70,-28.30,-4.16,14.62
1517.00,2.50,20.75,87.62,39.82,4.05,-21.58
1534.00,3.67,23.67,84.10,11.66,-0.13,-10.55
1557.00,3.18,24.09,86.43,23.45,2.64,-8.96
1598.00,4.20,24.60,82.09,-1.10,-2.51,-7.03
1619.00,4.14,26.00,83.65,0.35,-0.66,-1.74
2056.00,4.29,27.14,84.07,-3.26,-0.16,2.57
2213.00,5.00,24.00,79.17,-20.35,-5.98,-9.30
2248.00,2.00,20.00,90.00,51.86,6.88,-24.42
2309.00,3.80,25.24,85.68,8.53,1.75,-4.61
2312.00,3.60,20.50,83.34,13.34,-1.03,-22.53
2334.00,5.00,43.00,88.37,-20.35,4.95,62.51
2353.00,3.18,33.18,90.38,23.45,7.33,25.40
2417.00,1.00,19.00,94.74,75.93,12.51,-28.19
2437.00,4.90,24.10,79.66,-17.95,-5.40,-8.92
2438.00,3.12,23.50,87.58,24.90,4.01,-11.19
2458.00,2.91,25.26,88.04,29.95,4.55,-4.54
2459.00,3.62,23.46,86.37,12.86,2.57,-11.34
2478.00,2.87,26.43,89.44,30.92,6.22,-0.11
2559.00,3.61,27.13,86.65,13.10,2.90,2.53
2764.00,3.67,27.47,86.52,11.66,2.75,3.82
2848.00,3.00,28.00,89.29,27.79,6.04,5.82
