ID player,amplua,time,G,As,TB,Shot,BT,pm,dev_As,dev_BT,dev_G,dev_Shot,dev_TB,dev_pm,dev_time
1.00,10.00,11.93,0.08,0.18,1.41,1.70,1.35,-0.60,-15.52,2.61,-71.52,-31.58,-12.39,-253.19,-7.45
3.00,10.00,14.19,0.03,0.09,1.20,1.67,1.44,-1.09,-50.26,5.72,-86.19,-32.45,-16.50,-504.88,-2.23
8.00,9.00,19.85,0.10,0.12,1.81,2.23,1.38,0.55,-6.97,-7.78,-6.79,5.83,-1.41,298.80,9.20
10.00,9.00,17.79,0.71,0.29,3.71,4.71,1.33,0.14,96.50,-10.57,317.78,60.14,33.86,131.97,4.09
10.00,10.00,15.27,2.00,0.50,4.00,5.00,,0.00,108.01,,492.21,64.35,38.32,55.00,0.26
13.00,10.00,11.70,0.18,0.06,2.51,2.67,1.36,0.28,-61.84,2.95,-42.15,-3.38,9.14,198.83,-7.98
14.00,10.00,20.11,0.25,0.00,1.75,3.25,1.00,-3.50,-85.00,-9.47,-21.60,13.48,-5.74,-1742.79,11.44
17.00,9.00,13.74,0.14,0.14,2.27,3.20,,0.12,5.21,,14.50,27.07,7.13,123.83,-5.95
18.00,10.00,17.21,0.70,0.30,2.60,4.70,2.00,0.90,30.80,25.05,110.52,55.63,10.90,517.29,4.74
19.00,9.00,15.13,0.08,0.00,1.57,3.00,1.50,-0.78,-80.00,-1.06,-17.43,22.69,-5.86,-242.39,-2.50
21.00,9.00,9.22,0.00,0.00,,2.00,,-2.00,-80.00,,-60.00,0.80,,-738.83,-17.15
22.00,10.00,11.60,0.21,0.21,1.60,2.00,1.50,-0.15,-3.94,7.79,-33.34,-22.86,-8.67,-22.05,-8.21
24.00,10.00,11.67,0.00,0.00,1.00,,1.00,-1.00,-85.00,-9.47,-95.00,,-20.42,-458.65,-8.05
25.00,10.00,16.68,0.47,0.22,2.29,3.48,1.20,-0.54,-0.08,-2.57,43.00,20.17,4.84,-222.37,3.52
26.00,9.00,11.96,0.05,0.05,1.62,1.38,2.00,-0.50,-49.57,26.91,-33.40,-12.78,-4.93,-128.45,-10.36
35.00,9.00,16.23,0.00,0.12,2.00,1.00,2.00,-0.89,-6.97,26.91,-60.00,-21.10,2.12,-287.15,0.22
37.00,9.00,16.19,0.00,0.00,2.00,1.33,1.00,-1.67,-80.00,-29.04,-60.00,-13.88,2.12,-604.54,0.12
39.00,9.00,15.38,0.50,0.50,,1.67,1.50,0.50,224.30,-1.06,206.05,-6.43,,278.45,-1.88
40.00,9.00,21.10,0.25,0.18,2.11,2.03,1.80,0.25,29.55,15.72,73.03,1.45,4.16,176.73,12.29
47.00,10.00,18.52,0.14,0.07,1.43,2.83,1.38,-1.64,-57.98,3.64,-53.89,1.27,-12.00,-787.39,7.77
49.00,10.00,12.80,0.06,0.11,1.45,1.57,1.14,-0.76,-42.54,-4.64,-77.39,-35.36,-11.61,-335.38,-5.44
51.00,9.00,15.98,0.09,0.22,1.63,1.91,1.33,-0.18,53.90,-10.57,-12.11,-1.18,-4.75,1.75,-0.40
53.00,9.00,22.05,0.03,0.15,1.62,1.60,1.65,-0.03,11.29,7.33,-44.04,-7.96,-4.93,62.79,14.65
55.00,10.00,15.34,0.00,0.00,3.00,1.00,1.00,-2.50,-85.00,-9.47,-95.00,-51.93,18.74,-1229.13,0.42
62.00,9.00,10.18,0.04,0.15,1.25,1.47,1.14,-0.44,11.29,-21.21,-38.72,-10.81,-11.80,-104.04,-14.77
63.00,10.00,11.86,0.00,0.04,1.27,1.50,1.00,-1.29,-69.56,-9.47,-95.00,-37.39,-15.14,-607.61,-7.61
64.00,10.00,11.97,0.17,0.17,1.40,1.33,1.00,-0.50,-19.38,-9.47,-45.09,-42.34,-12.59,-201.83,-7.36
66.00,9.00,18.76,0.00,0.09,1.50,1.62,1.55,-0.60,-25.22,1.73,-60.00,-7.52,-7.16,-169.15,6.50
74.00,9.00,14.21,0.28,0.22,1.73,2.62,1.15,0.26,53.90,-20.65,88.99,14.37,-2.89,180.80,-4.78
79.00,9.00,21.53,0.14,0.21,2.00,1.86,1.44,-0.40,47.81,-4.42,14.50,-2.27,2.12,-87.77,13.36
83.00,10.00,15.16,0.32,0.28,1.62,2.88,1.52,-0.30,23.09,8.48,-1.04,2.72,-8.28,-99.09,0.01
85.00,10.00,16.55,0.08,0.15,2.82,2.40,1.00,-1.77,-27.10,-9.47,-71.52,-11.23,15.21,-854.17,3.22
87.00,10.00,10.21,0.00,0.00,1.50,2.00,1.00,-0.33,-85.00,-9.47,-95.00,-22.86,-10.63,-114.50,-11.42
92.00,9.00,13.90,0.00,0.00,1.29,1.67,1.40,-0.22,-80.00,-6.66,-60.00,-6.43,-11.06,-14.52,-5.55
94.00,9.00,21.60,0.33,0.11,3.29,2.44,2.75,-2.33,-13.06,68.88,115.59,10.43,26.06,-873.11,13.53
95.00,10.00,12.58,0.11,0.11,2.80,2.50,1.00,0.00,-42.54,-9.47,-62.70,-8.32,14.82,55.00,-5.95
104.00,9.00,13.51,0.22,0.16,1.33,1.70,1.25,-0.48,17.38,-15.05,57.06,-5.77,-10.31,-120.31,-6.52
107.00,9.00,15.98,0.08,0.38,2.10,1.80,1.33,-0.18,151.27,-10.57,-17.43,-3.59,3.98,1.75,-0.40
110.00,10.00,16.24,0.43,0.19,2.73,3.20,1.00,-0.22,-11.65,-9.47,31.25,12.03,13.45,-58.00,2.50
114.00,10.00,13.41,0.24,0.24,1.74,3.12,1.00,-0.10,7.64,-9.47,-24.54,9.70,-5.93,3.64,-4.03
115.00,10.00,12.06,0.08,0.14,1.79,1.71,1.00,-0.29,-30.96,-9.47,-71.52,-31.29,-4.95,-93.96,-7.15
116.00,9.00,14.94,0.07,0.11,2.00,1.71,2.06,0.78,-13.06,30.27,-22.75,-5.56,2.12,392.39,-2.97
117.00,10.00,14.53,0.30,0.12,1.76,2.38,1.08,0.20,-38.67,-6.71,-6.92,-11.81,-5.54,157.73,-1.45
118.00,9.00,15.77,0.00,0.04,1.60,1.41,1.50,-0.24,-55.66,-1.06,-60.00,-12.13,-5.31,-22.66,-0.92
120.00,10.00,15.77,0.90,0.20,3.47,4.53,1.00,0.62,-7.79,-9.47,169.24,50.69,27.94,373.47,1.42
121.00,10.00,19.55,0.33,0.22,1.84,2.76,1.37,-0.39,-0.08,3.30,1.89,-0.76,-3.98,-145.33,10.15
123.00,9.00,14.92,0.00,0.00,1.50,1.33,2.50,-0.50,-80.00,54.89,-60.00,-13.88,-7.16,-128.45,-3.02
124.00,9.00,17.59,0.29,0.26,2.27,2.97,1.12,-0.35,78.24,-22.33,94.31,22.03,7.13,-67.42,3.60
125.00,10.00,14.60,0.09,0.14,1.58,1.74,1.36,0.00,-30.96,2.95,-68.57,-30.42,-9.06,55.00,-1.28
126.00,9.00,11.87,0.10,0.28,1.53,1.79,1.12,0.75,90.41,-22.33,-6.79,-3.81,-6.60,380.18,-10.58
