ID player,MisG,TotalTr,ReflSh
10.00,3.46,28.89,-inf
13.00,1.83,11.00,83.84
16.00,2.20,17.40,87.93
55.00,3.71,26.43,83.67
71.00,4.13,27.17,83.95
102.00,4.14,30.43,87.24
109.00,1.50,14.00,88.54
154.00,2.86,24.14,88.27
178.00,3.10,27.40,88.02
188.00,2.00,0.00,-inf
195.00,5.10,27.50,81.34
217.00,4.98,23.91,79.03
222.00,4.15,28.86,-inf
291.00,8.00,49.00,83.67
306.00,4.33,31.08,86.27
339.00,3.32,26.29,87.47
383.00,6.12,35.38,83.47
397.00,4.00,18.00,77.78
416.00,2.69,22.50,88.37
442.00,3.33,25.25,87.43
490.00,4.56,32.28,85.39
520.00,3.18,32.66,-inf
530.00,5.00,33.86,85.53
568.00,4.00,20.00,80.00
569.00,5.64,33.79,83.25
573.00,4.19,28.52,86.18
599.00,5.10,25.20,78.91
631.00,2.39,20.30,-inf
656.00,5.00,30.60,83.31
667.00,4.89,23.56,79.89
668.00,4.59,25.69,82.41
673.00,3.79,36.49,88.92
740.00,3.90,28.48,86.40
743.00,4.71,28.24,82.60
754.00,3.00,26.00,88.30
769.00,3.76,27.91,85.73
777.00,2.75,27.25,89.77
806.00,6.00,19.00,68.42
908.00,3.15,28.93,88.36
938.00,2.56,24.11,88.76
979.00,5.73,28.76,-inf
995.00,3.37,28.88,88.17
997.00,3.59,32.22,88.78
998.00,4.80,31.80,84.47
1046.00,2.73,20.88,-inf
1060.00,3.45,21.97,-inf
1126.00,3.95,23.75,82.01
1176.00,4.77,24.36,81.08
1185.00,5.00,17.00,70.59
1194.00,3.44,23.81,-inf
1201.00,4.00,33.50,86.72
1202.00,8.00,22.00,63.64
1266.00,4.00,23.50,83.44
1296.00,3.26,26.48,87.36
1308.00,3.20,24.65,85.67
1310.00,9.00,33.00,72.73
1311.00,4.56,31.48,85.50
1312.00,3.38,22.81,85.75
1331.00,3.00,18.00,83.33
1340.00,5.40,28.40,81.11
1365.00,3.09,23.45,87.57
1376.00,4.83,28.76,-inf
1407.00,3.38,25.00,86.70
1435.00,5.97,27.40,78.46
1502.00,4.00,24.75,83.57
1517.00,3.08,24.77,87.91
1534.00,3.67,23.67,84.10
1557.00,3.14,25.07,87.16
1598.00,5.00,25.12,81.41
1619.00,3.94,27.47,85.30
2025.00,10.00,39.00,74.36
2056.00,4.33,26.24,83.11
2064.00,7.00,38.00,81.58
2121.00,4.00,35.50,89.92
2213.00,5.00,24.00,79.17
2248.00,6.20,31.20,80.95
2309.00,4.33,28.00,84.89
2312.00,4.28,24.20,83.01
2334.00,3.77,30.77,87.53
2344.00,7.00,33.00,77.61
2353.00,3.00,31.13,90.58
2417.00,2.67,27.00,90.86
2437.00,5.27,24.73,78.87
2438.00,3.11,23.57,87.66
2458.00,2.82,25.87,88.87
2459.00,3.80,24.07,85.70
2478.00,3.32,28.42,88.74
2559.00,3.29,26.94,87.41
2764.00,4.09,28.00,83.99
2848.00,3.00,28.00,89.29
2958.00,8.00,37.00,78.38
2963.00,3.18,28.00,88.63
3072.00,4.41,29.19,84.57
3075.00,3.45,21.73,-inf
3165.00,3.40,28.40,88.79
3176.00,3.33,31.33,87.90
3211.00,3.90,34.50,87.31
3273.00,4.92,29.94,83.36
3428.00,2.67,16.00,83.01
3430.00,3.00,23.00,86.96
