ID player,amplua,time,G,As,As_2,TB,Shot,BT,pm
1,10.00,11.90,0.12,0.22,0.09,0.73,1.04,0.44,-0.56
3,10.00,14.18,0.03,0.08,0.13,0.44,0.74,0.77,-1.37
5,10.00,12.78,0.00,0.33,0.00,1.00,0.67,0.67,-1.50
8,9.00,19.44,0.12,0.12,0.14,1.36,1.48,0.68,0.65
10,9.00,17.73,0.67,0.33,0.00,3.33,4.00,1.00,0.17
10,10.00,16.04,1.50,0.50,0.17,3.17,6.00,0.50,1.67
13,10.00,11.91,0.20,0.08,0.03,1.98,1.89,0.28,0.45
14,10.00,20.11,0.25,0.00,0.00,1.75,3.25,0.50,-3.50
17,9.00,13.09,0.13,0.13,0.04,1.09,1.39,0.00,0.12
18,10.00,17.10,0.67,0.25,0.17,3.00,4.75,0.17,0.58
19,9.00,11.15,0.06,0.00,0.00,0.82,0.88,0.59,-1.00
21,9.00,9.72,0.25,0.25,0.00,0.25,1.25,0.00,-1.33
22,10.00,11.71,0.19,0.30,0.16,0.97,2.08,0.24,-0.07
24,10.00,8.75,0.00,0.00,0.00,0.25,0.00,0.25,-1.00
25,10.00,16.76,0.43,0.29,0.04,1.69,2.78,0.16,-0.62
26,9.00,10.84,0.04,0.04,0.00,0.60,0.48,0.76,-0.64
35,9.00,12.27,0.00,0.11,0.00,0.84,0.47,0.68,-1.10
37,9.00,12.14,0.00,0.00,0.00,1.00,0.75,0.62,-1.57
39,9.00,15.38,0.50,0.50,0.00,0.00,1.25,0.75,0.50
40,9.00,20.38,0.27,0.16,0.05,1.45,1.68,1.18,0.33
47,10.00,17.20,0.14,0.07,0.14,0.71,2.43,0.79,-1.64
49,10.00,11.28,0.07,0.10,0.00,0.61,0.59,0.13,-0.72
51,9.00,15.51,0.12,0.24,0.01,0.94,1.48,0.48,-0.35
53,9.00,21.33,0.03,0.15,0.12,1.03,0.94,0.97,0.03
55,9.00,13.23,0.00,0.22,0.11,1.00,0.33,1.11,-1.00
59,10.00,13.85,0.50,0.25,0.00,1.50,3.25,0.25,1.75
61,9.00,18.02,0.00,0.00,0.00,3.00,2.00,0.00,-5.00
62,10.00,9.82,0.07,0.12,0.00,0.60,0.63,0.30,-0.42
63,10.00,12.01,0.00,0.04,0.04,0.65,0.85,0.12,-1.41
64,10.00,11.97,0.17,0.17,0.00,0.58,0.67,0.08,-0.50
66,9.00,15.67,0.00,0.17,0.03,0.76,1.14,0.72,0.10
72,10.00,15.55,0.50,0.50,0.25,1.25,2.50,0.00,-0.25
74,9.00,14.12,0.31,0.19,0.09,1.22,2.05,0.31,0.24
79,9.00,20.60,0.13,0.23,0.23,1.37,1.43,0.87,-0.52
82,10.00,9.38,0.00,0.00,0.00,0.00,1.00,0.00,-1.00
83,10.00,14.37,0.34,0.27,0.15,0.95,2.24,0.45,-0.37
85,10.00,16.08,0.10,0.15,0.20,2.30,1.85,0.25,-1.45
87,10.00,11.14,0.00,0.00,0.00,0.67,1.67,0.22,-0.75
92,9.00,13.23,0.03,0.00,0.00,0.97,0.87,0.67,0.04
94,9.00,19.44,0.30,0.10,0.00,2.30,2.20,2.20,-2.33
95,10.00,11.32,0.10,0.10,0.10,1.40,1.70,0.20,-0.22
104,9.00,13.20,0.16,0.12,0.00,0.77,1.26,0.19,-0.62
107,9.00,15.98,0.08,0.38,0.15,1.62,1.38,0.62,-0.18
110,10.00,14.98,0.41,0.18,0.08,1.78,2.94,0.16,-0.23
114,10.00,11.98,0.24,0.21,0.07,1.17,2.31,0.07,-0.31
115,10.00,11.04,0.11,0.13,0.02,0.63,1.13,0.27,-0.29
116,9.00,14.75,0.10,0.13,0.07,1.32,1.01,1.19,0.64
117,10.00,14.22,0.32,0.12,0.05,1.15,1.97,0.25,0.20
118,9.00,15.17,0.00,0.04,0.00,0.64,1.00,0.12,-0.37
120,10.00,15.88,0.83,0.26,0.13,2.70,4.17,0.04,0.63
121,10.00,19.13,0.32,0.23,0.11,1.35,2.06,0.44,-0.40
123,9.00,14.92,0.00,0.00,0.00,0.50,0.67,0.83,-0.50
124,9.00,17.53,0.26,0.26,0.15,1.53,2.49,0.32,-0.42
125,10.00,14.31,0.10,0.15,0.07,0.90,1.23,0.33,0.07
126,9.00,12.10,0.11,0.25,0.14,0.69,0.92,0.33,0.69
128,10.00,13.88,0.00,0.00,0.00,0.50,1.50,0.00,-2.50
130,9.00,11.17,0.00,0.17,0.00,0.67,0.17,1.17,0.83
137,10.00,13.36,0.33,0.17,0.00,1.67,2.08,0.00,0.20
139,10.00,14.36,0.52,0.24,0.24,2.48,4.03,0.24,0.39
142,10.00,13.51,0.29,0.24,0.14,0.76,1.90,0.14,-0.41
147,10.00,16.72,0.40,0.60,0.00,3.00,4.00,0.20,1.00
