ID player,amplua,games,goals,assists,assists_2,throws_by,shot_on_target,blocked_throws,p_m
1,10.0,93,13.0,18.0,9.0,65.0,98.0,44.0,-35.0
3,10.0,57,2.0,5.0,6.0,30.0,44.0,47.0,-46.0
5,10.0,13,0.0,1.0,0.0,17.0,4.0,11.0,-12.0
8,9.0,93,11.0,15.0,12.0,124.0,138.0,70.0,47.0
10,9.0,10,10.0,6.0,0.0,37.0,71.0,5.0,14.0
10,10.0,15,17.0,3.0,1.0,53.0,75.0,7.0,12.0
13,10.0,72,13.0,5.0,2.0,145.0,145.0,23.0,20.0
14,10.0,4,1.0,0.0,0.0,7.0,13.0,2.0,-14.0
17,9.0,23,3.0,3.0,1.0,25.0,32.0,0.0,2.0
18,10.0,12,8.0,3.0,2.0,36.0,57.0,2.0,7.0
19,9.0,17,1.0,0.0,0.0,14.0,15.0,10.0,-12.0
21,9.0,4,1.0,1.0,0.0,1.0,5.0,0.0,-4.0
22,10.0,54,14.0,15.0,7.0,51.0,121.0,11.0,0.0
24,10.0,4,0.0,0.0,0.0,1.0,0.0,1.0,-2.0
25,10.0,59,27.0,19.0,2.0,91.0,167.0,10.0,-37.0
26,9.0,25,1.0,1.0,0.0,15.0,12.0,19.0,-9.0
34,10.0,8,1.0,1.0,0.0,4.0,12.0,9.0,-2.0
35,9.0,19,0.0,2.0,0.0,16.0,9.0,13.0,-11.0
36,9.0,5,0.0,1.0,0.0,16.0,7.0,4.0,-1.0
37,9.0,8,0.0,0.0,0.0,8.0,6.0,5.0,-11.0
39,9.0,4,2.0,2.0,0.0,0.0,5.0,3.0,2.0
40,9.0,76,20.0,11.0,6.0,100.0,120.0,92.0,25.0
47,10.0,23,4.0,5.0,2.0,17.0,49.0,17.0,-9.0
49,10.0,71,5.0,6.0,0.0,43.0,43.0,10.0,-35.0
51,9.0,67,8.0,16.0,1.0,63.0,99.0,32.0,-18.0
53,9.0,48,1.0,7.0,5.0,48.0,39.0,57.0,0.0
55,9.0,25,2.0,3.0,4.0,34.0,19.0,32.0,-6.0
59,10.0,37,7.0,14.0,9.0,67.0,93.0,13.0,32.0
61,9.0,1,0.0,0.0,0.0,3.0,2.0,0.0,-5.0
62,10.0,57,5.0,6.0,0.0,38.0,43.0,21.0,-7.0
63,10.0,26,0.0,1.0,1.0,17.0,22.0,3.0,-24.0
64,10.0,12,2.0,2.0,0.0,7.0,8.0,1.0,-3.0
66,9.0,43,1.0,6.0,2.0,36.0,48.0,32.0,4.0
72,10.0,12,6.0,4.0,4.0,16.0,37.0,3.0,1.0
74,9.0,74,26.0,21.0,6.0,89.0,161.0,19.0,24.0
79,9.0,30,4.0,7.0,7.0,41.0,43.0,26.0,-14.0
82,10.0,1,0.0,0.0,0.0,0.0,1.0,0.0,-1.0
83,10.0,99,31.0,28.0,14.0,97.0,227.0,40.0,-37.0
85,10.0,33,3.0,4.0,4.0,73.0,68.0,7.0,-30.0
87,10.0,17,2.0,2.0,1.0,14.0,30.0,5.0,-10.0
92,9.0,40,1.0,0.0,1.0,42.0,33.0,32.0,1.0
94,9.0,10,3.0,1.0,0.0,23.0,22.0,22.0,-21.0
95,10.0,10,1.0,1.0,1.0,14.0,17.0,2.0,-2.0
104,9.0,43,7.0,5.0,0.0,33.0,54.0,8.0,-23.0
107,9.0,13,1.0,5.0,2.0,21.0,18.0,8.0,-2.0
110,10.0,55,20.0,11.0,5.0,98.0,162.0,12.0,-14.0
114,10.0,56,11.0,11.0,6.0,57.0,117.0,4.0,-9.0
115,10.0,73,8.0,13.0,1.0,44.0,81.0,21.0,-7.0
116,9.0,89,9.0,11.0,7.0,124.0,89.0,108.0,41.0
117,10.0,71,19.0,8.0,3.0,79.0,127.0,15.0,7.0
118,9.0,25,0.0,1.0,0.0,16.0,25.0,3.0,-7.0
119,9.0,17,3.0,3.0,2.0,13.0,19.0,9.0,23.0
120,10.0,23,19.0,6.0,3.0,62.0,96.0,1.0,12.0
121,10.0,83,22.0,21.0,8.0,109.0,160.0,32.0,-21.0
123,9.0,6,0.0,0.0,0.0,3.0,4.0,5.0,-3.0
124,9.0,68,16.0,21.0,8.0,92.0,166.0,25.0,-27.0
125,10.0,73,6.0,12.0,4.0,62.0,86.0,21.0,5.0
126,9.0,52,4.0,12.0,5.0,29.0,37.0,23.0,26.0
128,10.0,18,3.0,2.0,0.0,17.0,41.0,4.0,-4.0
130,9.0,6,0.0,1.0,0.0,4.0,1.0,7.0,5.0
137,10.0,12,4.0,2.0,0.0,20.0,25.0,0.0,2.0
139,10.0,49,22.0,9.0,11.0,102.0,170.0,9.0,10.0
