ID,ID game,ID team,IDp_in_ice,IDp_out_ice,timer
1091316,12951,445,5123.0,,0-00
1091317,12951,449,1194.0,,0-00
1091399,12951,445,,5123.0,43-56
1091401,12952,491,7157.0,,0-00
1091402,12952,504,10063.0,,0-00
1091445,12953,501,5771.0,,0-00
1091528,12953,661,8725.0,,0-00
1091631,12954,189,8360.0,,0-00
1091632,12954,129,9322.0,,0-00
1091651,12954,189,10415.0,8360.0,43-05
1090687,12947,189,8360.0,,0-00
1090688,12947,504,10063.0,,0-00
1090820,12947,504,,10063.0,44-00
1090822,12949,445,5123.0,,0-00
1090823,12949,661,8725.0,,0-00
1090979,12950,449,1194.0,,0-00
1090980,12950,501,5771.0,,0-00
1091081,12948,129,9322.0,,0-00
1091082,12948,491,7157.0,,0-00
1091091,12948,491,530.0,7157.0,24-49
1090520,12955,29,7821.0,,0-00
1090521,12955,15,1308.0,,0-00
1090523,12955,29,,7821.0,5-58
1090525,12955,29,7821.0,,6-55
1090438,12946,214,2344.0,,0-00
1090439,12946,15,1308.0,,0-00
1089425,12935,129,9322.0,,0-00
1089426,12935,502,10359.0,,0-00
1089478,12936,565,2064.0,,0-00
1089480,12936,504,10063.0,,0-00
1089560,12938,331,668.0,,0-00
1089644,12938,375,9322.0,,0-00
1089677,12937,189,10403.0,,0-00
1089678,12937,337,4360.0,,0-00
1089778,12941,662,8820.0,,0-00
1089779,12941,567,2438.0,,0-00
1089912,12939,666,11684.0,,0-00
1089913,12939,215,5581.0,,0-00
1090104,12940,23,2559.0,,0-00
1090105,12940,402,8020.0,,0-00
1090175,12934,406,11736.0,,0-00
1090176,12934,491,4435.0,,0-00
1090261,12934,406,,11736.0,43-45
1090263,12934,406,11736.0,,43-50
1090285,12929,664,11768.0,,0-00
1090287,12929,501,4250.0,,0-00
1090332,12927,661,11746.0,,0-00
1090333,12927,449,1194.0,,0-00
1090344,12927,661,8725.0,11746.0,41-20
1090348,12928,661,8725.0,,0-00
1090349,12928,652,11722.0,,0-00
1090390,12944,29,673.0,,0-00
1090391,12944,452,7821.0,,0-00
1088802,12924,12,9322.0,,0-00
1088815,12924,438,2121.0,,0-00
1088866,12926,567,2438.0,,0-00
1088868,12926,23,2559.0,,0-00
1088941,12932,331,668.0,,0-00
1088942,12932,215,5581.0,,0-00
1088975,12931,1,3463.0,,0-00
1088976,12931,452,7821.0,,0-00
1088998,12931,452,,7821.0,19-25
1089000,12931,452,7821.0,,19-37
1089027,12933,375,9322.0,,0-00
1089028,12933,666,11684.0,,0-00
1089125,12925,662,5464.0,,0-00
1089126,12925,402,8020.0,,0-00
1089139,12925,662,,5464.0,44-15
1089141,12925,662,5464.0,,44-43
1089142,12925,662,,5464.0,44-49
1087663,12913,109,4246.0,,0-00
1087664,12913,438,2121.0,,0-00
1087666,12898,1,7542.0,,0-00
1087667,12898,15,2344.0,,0-00
1087841,12898,1,,7542.0,44-38
1087850,12914,504,10063.0,,0-00
1087851,12914,332,6140.0,,0-00
1087852,12898,1,7542.0,,44-50
1087855,12897,333,6599.0,,0-00
1087856,12897,214,2344.0,,0-00
1087989,12918,666,11684.0,,0-00
1087991,12918,176,5509.0,,0-00
1088217,12923,189,10403.0,,0-00
1088219,12923,491,7157.0,,0-00
1088391,12923,491,,7157.0,43-56
1088440,12921,652,11545.0,,0-00
1088441,12921,445,11562.0,,0-00
1088484,12921,652,11722.0,11545.0,30-00
1088607,12920,663,9324.0,,0-00
1088608,12920,661,8725.0,,0-00
1088622,12922,406,1311.0,,0-00
1088623,12922,565,3273.0,,0-00
1088633,12922,565,2064.0,3273.0,30-00
1087232,12915,375,9322.0,,0-00
1087233,12915,532,8431.0,,0-00
1087360,12917,568,6994.0,,0-00
1087361,12917,215,5581.0,,0-00
1087377,12916,331,668.0,,0-00
1087378,12916,545,6584.0,,0-00
1086028,12903,23,2559.0,,0-00
1086029,12903,335,6265.0,,0-00
1086229,12896,92,2478.0,,0-00
1086230,12896,15,1308.0,,0-00
1086259,12902,492,2344.0,,0-00
1086260,12902,402,8020.0,,0-00
1086518,12901,567,2438.0,,0-00
1086519,12901,329,3176.0,,0-00
1086581,12909,446,9673.0,,0-00
1086582,12909,176,5509.0,,0-00
1086583,12912,663,9324.0,,0-00
