ID;ID game;ID team;IDp_in_ice;IDp_out_ice;timer
473;101;6;0;786;43-32
474;101;6;786;0;44-44
535;90;10;833;0;00-00
610;95;3;102;0;00-00
611;95;1;67;509;31-40
703;88;49;915;913;22-44
730;105;17;0;743;44-15
769;87;32;31;368;19-05
972;118;31;0;188;44-30
1143;126;12;0;67;44-01
1663;130;49;0;915;43-53
1697;131;15;0;211;00-00
2393;172;12;0;67;14-53
3182;96;32;0;31;43-33
3183;96;32;31;0;44-36
3199;87;32;31;368;19-05
3366;112;48;361;1310;21-40
3554;114;48;361;1310;30-01
4241;138;35;989;178;30-00
4664;173;24;1077;0;00-00
4666;173;24;229;1077;10-51
4667;173;24;1077;229;11-26
5363;176;22;0;1340;44-40
5394;167;48;361;1310;41-50
5395;167;48;1310;0;00-00
5396;127;31;978;0;0-0
5397;127;32;31;0;0-0
5606;177;61;0;1202;39-28
5608;177;61;1202;0;39-48
5960;178;48;1310;0;00-00
5961;178;48;361;1310;15-00
5975;178;48;1310;361;30-00
5976;178;48;361;1310;40-12
6920;143;9;908;0;00-00
6921;143;31;978;0;00-00
6922;146;56;995;0;00-00
6923;146;11;1308;0;00-00
6924;144;50;1369;0;00-00
6925;147;6;786;0;00-00
6926;145;4;997;0;00-00
6927;145;32;31;0;00-00
6928;149;1;509;0;00-00
6929;149;29;673;0;00-00
6930;150;17;743;0;00-00
6931;150;15;211;0;00-00
6932;179;8;1331;0;00-00
6933;179;22;1369;0;00-00
6934;198;26;1359;0;00-00
6935;198;60;1243;0;00-00
6936;199;54;656;0;00-000
6937;199;59;16;0;00-00
6938;200;18;1046;0;00-00
6939;200;57;1176;0;00-00
6940;177;51;368;0;00-00
6941;177;61;1202;0;00-00
6942;178;24;229;0;00-00
6943;180;53;109;0;00-00
6944;180;52;84;0;00-00
6945;147;35;178;0;00-00
6947;144;10;974;0;00-00
6976;132;9;0;908;43-35
7373;183;52;102;0;00-00
7388;152;3;222;0;00-00
8486;153;50;296;0;00-00
8487;153;56;995;0;00-00
8521;154;11;818;0;00-00
8522;154;35;754;0;00-00
8706;152;9;18;0;00-00
8707;181;12;67;0;00-00
8722;155;10;833;0;00-00
8724;181;12;0;67;44-25
8726;155;6;786;0;00-00
8780;201;54;656;0;00-00
8816;183;51;368;0;00-00
8851;183;52;0;102;44-22
8854;183;52;102;0;44-51
8888;203;58;1170;0;00-00
8906;203;59;217;0;00-00
9042;182;53;109;0;00-00
9043;182;24;1077;0;00-00
9148;156;15;1117;0;00-00
9164;156;1;509;0;00-00
9201;151;31;188;0;00-00
9202;151;4;997;0;00-00
9286;157;49;915;0;00-00
9302;157;17;743;0;00-00
9361;184;61;1201;0;00-00
9514;158;32;368;0;00-00
9515;158;29;677;0;00-00
9585;201;60;1235;0;00-00
9600;181;22;1344;0;00-00
9601;132;1;509;0;00-00
9769;164;15;211;0;00-00
9770;164;32;154;0;00-00
9831;185;51;368;0;00-00
9832;185;24;229;0;00-00
9964;186;12;67;0;00-00
9965;186;61;1202;0;00-00
9990;162;49;0;915;44-43
9991;162;49;915;0;00-00
9992;162;1;1376;0;00-00
10033;163;56;995;0;00-00
10034;163;6;786;0;0-0
10095;160;10;833;0;00-00
10096;160;11;818;0;00-00
10097;161;4;997;0;00-00
10098;161;9;18;0;00-00
10146;204;54;1331;0;00-00
10147;204;18;1126;0;00-00
10240;205;60;1235;0;00-00
10241;205;59;217;0;00-00
10375;202;57;1176;0;00-00
10376;202;26;1359;0;00-00
10443;159;50;938;0;00-00
10444;159;3;222;0;00-00
10466;188;53;109;0;00-00
10516;188;48;361;0;0-0
10548;206;57;1176;0;00-00
10549;206;58;1170;0;00-00
10574;188;48;1310;361;08-35
10631;165;29;673;0;00-00
10632;165;31;188;0;00-00
10654;188;53;0;109;44-54
10729;187;52;84;0;00-00
10731;187;8;656;0;00-00
10809;166;35;754;0;00-00
10810;166;17;743;0;00-00
12043;210;1;1376;0;00-00
12044;210;35;178;0;00-00
12131;207;26;1359;0;00-00
12165;207;18;1044;0;00-00
12204;211;31;978;0;00-00
12205;211;56;995;0;00-00
12245;207;18;1126;1044;37-10
12246;207;18;1044;1126;38-36
