ID game,ID team,ID player,missed pucks,total throws,% of reflected shots
6068.00,205.00,1046.00,2.00,0.00,-inf
6068.00,65.00,5774.00,3.00,0.00,-inf
6315.00,200.00,4256.00,7.00,17.00,58.82
6353.00,63.00,7222.00,3.00,14.00,78.57
6358.00,138.00,3428.00,3.00,15.00,80.00
6358.00,38.00,4256.00,10.00,0.00,-inf
6556.00,239.00,938.00,4.00,23.00,82.61
6556.00,35.00,7208.00,3.00,0.00,-inf
6557.00,31.00,995.00,3.00,32.00,90.62
6557.00,209.00,188.00,2.00,0.00,-inf
6737.00,31.00,995.00,0.00,0.00,
6737.00,35.00,222.00,3.00,1.00,-200.00
1111.00,61.00,1201.00,2.00,39.00,94.87
1111.00,63.00,291.00,8.00,49.00,83.67
7192.00,400.00,7809.00,7.00,0.00,-inf
7192.00,431.00,8020.00,1.00,20.00,95.00
7201.00,207.00,908.00,1.00,24.00,95.83
7201.00,26.00,2459.00,0.00,10.00,100.00
7202.00,38.00,5779.00,2.00,19.00,89.47
7203.00,441.00,7924.00,6.00,25.00,76.00
7203.00,214.00,4565.00,4.00,40.00,90.00
6987.00,4.00,1376.00,4.00,22.00,81.82
6987.00,56.00,995.00,2.00,24.00,91.67
7209.00,440.00,5123.00,3.00,32.00,90.62
7209.00,129.00,2309.00,2.00,31.00,93.55
7204.00,200.00,4257.00,7.00,29.00,75.86
7204.00,410.00,3273.00,2.00,22.00,90.91
7210.00,130.00,5694.00,1.00,27.00,96.30
7210.00,411.00,5723.00,6.00,30.00,80.00
7216.00,132.00,339.00,0.00,7.00,100.00
7216.00,446.00,7979.00,3.00,11.00,72.73
7205.00,48.00,195.00,5.00,21.00,76.19
7205.00,208.00,979.00,6.00,23.00,73.91
7211.00,109.00,6040.00,6.00,30.00,80.00
7211.00,409.00,740.00,3.00,35.00,91.43
7217.00,65.00,5774.00,6.00,18.00,66.67
7217.00,404.00,5090.00,5.00,26.00,80.77
7206.00,379.00,71.00,14.00,20.00,30.00
7206.00,63.00,7222.00,0.00,16.00,100.00
7212.00,187.00,10.00,9.00,39.00,76.92
7212.00,333.00,2478.00,2.00,25.00,92.00
7207.00,405.00,4410.00,10.00,26.00,61.54
7207.00,408.00,8010.00,1.00,13.00,92.31
7220.00,269.00,599.00,3.00,21.00,85.71
7220.00,110.00,3072.00,5.00,40.00,87.50
6985.00,447.00,1598.00,7.00,31.00,77.42
6985.00,17.00,997.00,8.00,25.00,68.00
6986.00,1.00,4372.00,1.00,22.00,95.45
6986.00,46.00,5751.00,6.00,28.00,78.57
7208.00,53.00,1311.00,3.00,24.00,87.50
7208.00,211.00,2458.00,6.00,19.00,68.42
7215.00,438.00,6325.00,4.00,17.00,76.47
7215.00,332.00,3072.00,8.00,29.00,72.41
7057.00,452.00,7821.00,8.00,25.00,68.00
7057.00,15.00,7519.00,1.00,18.00,94.44
7224.00,439.00,7816.00,1.00,5.00,80.00
7224.00,449.00,4294.00,11.00,55.00,80.00
7221.00,406.00,6923.00,1.00,27.00,96.30
7223.00,335.00,6265.00,2.00,11.00,81.82
7223.00,403.00,1311.00,9.00,48.00,81.25
7060.00,239.00,2478.00,1.00,14.00,92.86
7060.00,111.00,10.00,6.00,39.00,84.62
7222.00,336.00,5536.00,3.00,17.00,82.35
7222.00,23.00,2559.00,1.00,25.00,96.00
7228.00,176.00,5509.00,0.00,7.00,100.00
7228.00,453.00,7934.00,7.00,25.00,72.00
7213.00,138.00,5123.00,4.00,24.00,83.33
7213.00,450.00,4933.00,1.00,30.00,96.67
7229.00,375.00,4360.00,0.00,6.00,100.00
7229.00,451.00,573.00,7.00,46.00,84.78
7231.00,401.00,6045.00,4.00,18.00,77.78
7231.00,400.00,7809.00,5.00,20.00,75.00
7214.00,329.00,4246.00,1.00,14.00,92.86
7232.00,22.00,4435.00,8.00,39.00,79.49
